food,lyric,song,album,notes,type of food,,
misc secret recipes,"And your granny for giving you all of her secret recipes (Thank you, mama)",my everything,practice makes paper,,,,
relish,"I'm havin' my relish, asparagus, and my lettuce",big deal,practice makes paper,,condiments,,
asparagus,"I'm havin' my relish, asparagus, and my lettuce",big deal,practice makes paper,,produce,,
lettuce,"I'm havin' my relish, asparagus, and my lettuce",big deal,practice makes paper,,produce,,
tofu,We could hit the matinee then go to lunch at Nobu / But you on your vegetarian so I order tofu,1 question,practice makes paper,,,,
table butter,"Nigga, you soft as table butter, margarine (Uh-huh)",chase the money,practice makes paper,,dairy,,
margerine,"Nigga, you soft as table butter, margarine (Uh-huh)",chase the money,practice makes paper,,dairy,,
gouda,"AR-15, create a crime scene / All it take is some gouda to formulate a team",wake they shit up,practice makes paper,,dairy,,
peanut,They got my name in they teeth like a cavity (Like a cavity) / I'm allergic to suckas like peanut allergy (Peanut allergy),rain on my parade,practice makes paper,,produce,,
banana,"I'm a big deal, I'm a big deal (Big deal) / Can't be slippin' like a transmission on a banana peel (Banana peel)'",big deal,practice makes paper,,produce,,
gouda,All I know is gouda and I stay with protection / In case a sucka muthafucka get to flexin’,watch the homies,practice makes paper,,dairy,,
soda,"Got kicks like I'm into soccer, I'll throw that thang in the water / And add the soda, mix it up 'til it's harder / The price is right like Bob Barker, they in a line like The Carter",no choice,practice makes paper,,beverage,,
rice,"On top of the kitchen counter, right up under the cabinets by the rice and flour",i come from the game,practice makes paper,,,,
flour,"On top of the kitchen counter, right up under the cabinets by the rice and flour",i come from the game,practice makes paper,,,,
chicken,I was consistent about my chicken when I was out there deliverin',i come from the game,practice makes paper,,,,
brandy,"Start off with nose candy, I ain't never sold candy (Never) / When I say the boy is mines, I ain't talkin' Brandy (Nah)",i come from the game,practice makes paper,,alcoholic beverage,,
glad bags,Bowls and Glad baggies stashin' Os in old Caddies / Narcs search us 'cause we wearin' Cartis and our clothes baggy (C'mere),i come from the game,practice makes paper,,,,
waffles (from waffle house),"Knock his tooth out, make him look like a cook at the Waffle House (The Waffle House?)",another one,practice makes paper,,,,
coconut (cocaine),"Water, how you stay so dialed in and up? / Did you forget I'm from the game, used to sell coconut?",in the struggle,practice makes paper,,,,
asparagus,Smokin' asparagus spinach,imma find out,practice makes paper,,produce,,
spinach,Smokin' asparagus spinach,imma find out,practice makes paper,,produce,,
snickers,"I like to squeeze a trigger like she squeeze a bitch breast (Breast) / She thicker than a Snicker, baby girl hella blessed (Blessed)",imma find out,practice makes paper,,,,
ice cream,"Everything I do is butter, candy, ice cream (Ice cream) / Make a hater cry like a Jordan meme (Jordan meme)",imma find out,practice makes paper,,,,
spaghetti,They'll turn your brains into spaghetti (Watch out),imma find out,practice makes paper,,,,
bread,I'll spend some bread like a shopping spree (Shopping spree),imma find out,practice makes paper,,,,
onions,The other side can't be anywhere in your city (Anywhere) / When there was a drought I was breakin' down zippies (Onions),all day,practice makes paper,,produce,,
pork,"Reading books and eating healthy with no pork / Cardio, push-ups, and bar work",surroundings,practice makes paper,,,,
wine,You can have your own wine locker and don't have to pay the corkage fee in the restaurant,bet you didn't know ,practice makes paper,,alcoholic beverage,,
wine,A glass of wine a day'll keep the heart attacks away,bet you didn't know ,practice makes paper,,alcoholic beverage,,
wine,Drink some Jesus wine and chop it up with Moses 'nem (Moses 'nem),thou wow,practice makes paper,,alcoholic beverage,,
bread,Can't get no bread (No bread),thou wow,practice makes paper,,,,
cake,"Redman, nigga, we rock the Bay Bay / I get cake right in your face like Anna Mae",keep on gassin,practice makes paper,,,,
patty melt,"Fucker want beef, I'm make him a patty melt",ballhog,gift of gab,,,,
ginger ale,"Your bitch got sloppy toppy, off of the ginger ale with Jack",ballhog,gift of gab,,beverage,,
jasmine rice,"I'm out here feasting, I ain't famine, eating jasmine rice and salmon",ballhog,gift of gab,,,,
salmon,"I'm out here feasting, I ain't famine, eating jasmine rice and salmon",ballhog,gift of gab,,,,
pepper,"Taking risks in the kitchen, pepper in my hand",pots and pans,gift of gab,,,,
tequila,E. Cuarenta Tequila and carne asada street tacos,pots and pans,gift of gab,,alcoholic beverage,,
carne asada street tacos,E. Cuarenta Tequila and carne asada street tacos,pots and pans,gift of gab,,,,
jarritos,Jarritos is my favorite soda,pots and pans,gift of gab,,beverage,,
provolone,"I'm having my provolone, getting gouda (winning)",pots and pans,gift of gab,,dairy,,
edibles,"I sell liquor, music, edibles, and vegetables",who you talkin to,gift of gab,,,,
vegetables (misc),"I sell liquor, music, edibles, and vegetables",who you talkin to,gift of gab,,produce,,
shellfish,Don't be a bottom feeder or a shellfish,who you talkin to,gift of gab,,,,
salt,You woulda thought it was a food fight the way they throwing salt,wicked,gift of gab,,spices,,
brisket,You want some funk? I'll bring the smoke like a brisket,wicked,gift of gab,,,,
biscuit,"Play with my bread, then I'ma hit you with the biscuit (BIATCH!)",wicked,gift of gab,,,,
starkist (tuna),"Open a sucker up, like a can of StarKist",aint talkin bout nothin,gift of gab,,,,
chicken,"The black man, I want to see the black man having chicken",aint talkin bout nothin,gift of gab,,,,
sprite,"Strawberry cush, Tequila and Spright",one night,gift of gab,,,,
cinnabon,Whip out on him with the cinnabon,relax,gift of gab,,,,
fried pickle,"Stay young from packing a yistol, I fry your head like a pickle",relax,gift of gab,,condiment,,
ravioli,"Wrap a sucker up, fold him just like ravioli",pack attack,gift of gab,,,,
enchiladas,Blue cooking enchilada is the best bet,pack attack,gift of gab,,,,
top ramen noodles,Still eat Top Ramen noodles (carbs),dennys,gift of gab,,,,
sugar,Processed sugar and high fructose (starch),dennys,gift of gab,,,,
high fructose corn syrup,Processed sugar and high fructose (starch),dennys,gift of gab,,,,
Metamucil (fiber supplements),"It's cold out here, need Metamucil (streets)",dennys,gift of gab,,,,
menudo (soup),"When I'm higher than Pluto, I eat menudo",these days,gift of gab,,,,
pozole,"Pozole elote, might think I'm an esé",these days,gift of gab,,,,
elote,"Pozole elote, might think I'm an esé",these days,gift of gab,,,,
life savers,"Honey coochie slap, smell like a Life Saver",these days,gift of gab,,,,
collard greens,"She fed me collard greens, dressing, candied yams, and fried chicken",when life shows up,gift of gab,,,,
dressing,"She fed me collard greens, dressing, candied yams, and fried chicken",when life shows up,gift of gab,,condiment,,
candied yams,"She fed me collard greens, dressing, candied yams, and fried chicken",when life shows up,gift of gab,,,,
fried chicken,"She fed me collard greens, dressing, candied yams, and fried chicken",when life shows up,gift of gab,,,,
tomatoes,Eat tomatoes 'cause it helps protect the prostate,when life shows up,gift of gab,,produce,,
ground turkey,"Substitute ground turkey for ground beef, no red meat",when life shows up,gift of gab,,,,
Jack Daniel's whiskey,"Your bitch got sloppy toppy, off of the ginger ale with Jack",ballhog,gift of gab,,alcoholic beverage,,
gouda,"Hallelujuah! The Lord blessed me with gouda / You can find me on vacation in Barbados or Aruba / Puerto Villarta, Mexico, Bora Bora or Bermuda / Me don't do no snorkel, me don't do no scuba",ballhog,gift of gab,,dairy,,
cognac,I drink cognac like Kim Jong Un,who you talkin to,gift of gab,,alcoholic beverage,,
fried pickle,"Stay young from packing a yistol, I fry your head like a pickle / For being fraudul' and fickle and pillow talking to brizzles",relax,gift of gab,,condiment,,
adobo,They'll try to sneak me and turn my brains into adobo,stack it to the ceiling,the d-boy diary book 1,,,,
fish,She at the house frying up some fish,puttin in work,the d-boy diary book 1,,,,
tycoon vodka,Tycoon vodka and a little discussion,puttin in work,the d-boy diary book 1,,alcoholic beverage,,
arm & hammer baking soda,"That orange box of baking soda, hustlas use it for their yola / Anything that you request and it can help your inner jest / It all purpose, ain't no secret, you can brush your teeth with it / You can put it in the tub, you can take a bath and scrub / Mister Arm and Hammer show the soil hella love",mr arm and hammer,the d-boy diary book 1,,,,
foil,Your ratchets like some foil like some meat,hunedz,the d-boy diary book 1,,,,
spam,When I was starvin' like Marvin and eatin' noodles and spam,hunedz,the d-boy diary book 1,,,,
bread,Some bread or some milk or some peanut butter and jam,hunedz,the d-boy diary book 1,,,,
milk,Some bread or some milk or some peanut butter and jam,hunedz,the d-boy diary book 1,,beverage,,
peanut butter,Some bread or some milk or some peanut butter and jam,hunedz,the d-boy diary book 1,,condiment,,
jam,Some bread or some milk or some peanut butter and jam,hunedz,the d-boy diary book 1,,condiment,,
fruity pebbles,Some can’t comprehend what I’m saying ‘cause they way out of touch / And they square as a box of Fruity Pebbles and Cocoa Puffs,fired up,the d-boy diary book 1,,,,
cocoa puffs,Some can’t comprehend what I’m saying ‘cause they way out of touch / And they square as a box of Fruity Pebbles and Cocoa Puffs,fired up,the d-boy diary book 1,,,,
omelet,"Tryin' to put something together, having my gouda and my cheddar / Foldin’ it backward like an omelet, ‘bout to get higher than I can measure",bag on me,the d-boy diary book 1,,,,
prego ,She say I got the sauce like Prego,say so,the d-boy diary book 1,,condiment,,
root beer,Gettin' sprayed root beer brown,stay away,the d-boy diary book 1,,beverage,,
lozenge,Your bitch want me in her throat like a lozenge,stay away,the d-boy diary book 1,,,,
Earl Stevens Mangoscoto https://www.totalwine.com/wine/fruit-wine/fruit-blends/earl-stevens-mangoscato/p/137734750,"I drank Mangoscoto, that's what I'm sippin'",somebody,the d-boy diary book 1,,alcoholic beverage,,
Hennessy,Sippin' on this Hennessy,all day,the d-boy diary book 1,,alcoholic beverage,,
colgate toothpaste,I used to whip that weight as white as Colgate,the grit don't quit,the d-boy diary book 1,,,,
carlo rossi,"40 why you ain't sippin' that Rossi no more, you in they shadows? / Shit, I looked up to them dudes, shout out to Gallo",the grit don't quit,the d-boy diary book 1,,alcoholic beverage,,
corn,"A half-a-hundred on my arm / Yellow diamonds, looking like corn",fake lit,the d-boy diary book 1,,produce,,
bacon fat,"Baby got back, she thicker than bacon fat and I’m tryna have at that",fake lit,the d-boy diary book 1,,,,
grilled cheese,"We sick With It, with no disease / I'm a OG in the game and I'm havin' my grilled cheese",gangsta,the d-boy diary book 1,,,,
laxatives,"Techniques and tactics, mammoth mathematics / Runnin’ through paper like it’s a laxative",blessed by the game,the d-boy diary book 1,,,,
church's chicken,Across the street from Church's Chicken it was on,i had it in a drought,the d-boy diary book 1,,,,
taco bell,She worked at Taco Bell when I was up at Grambling,i had it in a drought,the d-boy diary book 1,,,,
cabbage,I'm a savage about my cabbage,savage,the d-boy diary book 1,,produce,,
gouda,"How to wiggle, get to the Gouda / Straight shooter / I'm super solid from the rooter to the tooter",savage,the d-boy diary book 1,,,,
girl scout cookie,Girl Scout cookie and gorilla glue crossing,fired up,the d-boy diary book 1,,,,
broccoli,"Loyalty, not dishonesty, THC, I blow broccoli",fired up,the d-boy diary book 1,,produce,,
campbell's soup,My muscle car souped up and I ain’t talkin’ ‘bout Campbell,bag on me,the d-boy diary book 1,,,,
gouda,"Tryin' to put something together, having my gouda and my cheddar",bag on me,the d-boy diary book 1,,dairy,,
cheddar,"Tryin' to put something together, having my gouda and my cheddar",bag on me,the d-boy diary book 1,,dairy,,
candy cane,Selling that candy cane 'fore I get caught by a cop,somebody,the d-boy diary book 1,,,,
broccoli,Sellin' dope and broccoli,all day,the d-boy diary book 1,,produce,,
tycoon vodka,Tycoon vodka in a ice bucket (Yee!),fake lit,the d-boy diary book 1,,alcoholic beverage,,
girl scout cookie,"Blowin’ Girl Scout cookies, Durban and OG kush strains crossed",fake lit,the d-boy diary book 1,again its a strain of weed,,,
cheddar,My cheddar long like tape measures,gangsta,the d-boy diary book 1,money :(,dairy,,
broccoli,"That booger suger; that yayo / Or the broccoli, spinach or kale / On the front propeller",gangsta,the d-boy diary book 1,weed,produce,,
spinach,"That booger suger; that yayo / Or the broccoli, spinach or kale / On the front propeller",gangsta,the d-boy diary book 1,,produce,,
kale,"That booger suger; that yayo / Or the broccoli, spinach or kale / On the front propeller",gangsta,the d-boy diary book 1,,produce,,
chalupa,"Chalupa on my mind, all I know is the gravel",i had it in a drought,the d-boy diary book 1,this means money,,,
Earl Stevens Mangoscoto https://www.totalwine.com/wine/fruit-wine/fruit-blends/earl-stevens-mangoscato/p/137734750,"Sippin’ mangoscato from Napa, Earl Stevens shit",made it out,the d-boy diary book 1,,alcoholic beverage,,
bread,Got more bread than the bakery,bring back the side show,The D-Boy Diary: Book 2,,,,
double tree cookies,"Got them cookies, no DoubleTree",bring back the side show,The D-Boy Diary: Book 2,,,,
rice,"Never met Condoleezza, but I got rice for sale",money,The D-Boy Diary: Book 2,,,,
pie crust,I'm havin' my dough or should I say pie crust?,on one,The D-Boy Diary: Book 2,,,,
chalupa,"I got moulah, chalupa bust your medulla",on one,The D-Boy Diary: Book 2,this is money,,,
gouda,Never funk with a nigga that got gouda,on one,The D-Boy Diary: Book 2,,dairy,,
chicken,I'm a stingy motha fucka 'bout my chicken and bones,on one,The D-Boy Diary: Book 2,,,,
vodka,"Heem and vodka, high as a drone",on one,The D-Boy Diary: Book 2,,alcohol,,
cornbread,"Soil living, hot water, cornbread and navy beans",on one,The D-Boy Diary: Book 2,,,,
navy beans,"Soil living, hot water, cornbread and navy beans",on one,The D-Boy Diary: Book 2,,,,
broccoli,"Just smoked a turkey-bag of broccoli, and I'm off of that fluid",get money or get lost,The D-Boy Diary: Book 2,,produce,,
clam chowder,"I'm in my off-white Charger, clam chowder",get money or get lost,The D-Boy Diary: Book 2,,,,
lemon,Developing stories I hear it all the time / Suckas can't tell a lemon from a lime,sick out here,The D-Boy Diary: Book 2,,produce,,
lime,Developing stories I hear it all the time / Suckas can't tell a lemon from a lime,sick out here,The D-Boy Diary: Book 2,,produce,,
toast,"Might want to keep your burner close, 'cause they might burn your toast / They might burn my toast? They might burn your toast / Right now I'm off this pot and I ain't talkin' 'bout a roast",sick out here,The D-Boy Diary: Book 2,,,,
roast,"Might want to keep your burner close, 'cause they might burn your toast / They might burn my toast? They might burn your toast / Right now I'm off this pot and I ain't talkin' 'bout a roast",sick out here,The D-Boy Diary: Book 2,,,,
Veuve Clicquot Ponsardin,We drown ourselves in kush and Clicquot / We blocking out our inner ego,thank u,The D-Boy Diary: Book 2,,alcoholic beverage,,
whipped cream,"Cocaine white, whip cream, white chocolate",thank u,The D-Boy Diary: Book 2,,condiment,,
white chocolate,"Cocaine white, whip cream, white chocolate",thank u ,The D-Boy Diary: Book 2,,,,
charmin toilet tissue,"Can't be soft as doctor cotton, or Charmin toilet tissue",military time,The D-Boy Diary: Book 2,,,,
honey,I could sell honey to a bee,whats it gone be,The D-Boy Diary: Book 2,,,,
almond tree,My niggas go nutty like an almond tree,how do u like that,The D-Boy Diary: Book 2,,produce,,
parsley,All about the green like parsley,how do u like that,The D-Boy Diary: Book 2,,produce,,
turkey bone,Somebody tried to stab her with a turkey bone,i know a guy,The D-Boy Diary: Book 2,,,,
carrots,"I see everything; I eat a whole lotta carrots / I don't repeat what I heard, like a motherfucking parrot",i know a guy,The D-Boy Diary: Book 2,,produce,,
motrin,Got the joog on the pills and I ain’t talking Motrin,waitin on a play,The D-Boy Diary: Book 2,,,,
a loaf of bread,"A loaf of bread, a stick of butter and some milk / Concrete the way me and brother and them was built",waitin on a play,The D-Boy Diary: Book 2,,,,
butter,"A loaf of bread, a stick of butter and some milk / Concrete the way me and brother and them was built",waitin on a play,The D-Boy Diary: Book 2,,dairy,,
milk,"A loaf of bread, a stick of butter and some milk / Concrete the way me and brother and them was built",waitin on a play,The D-Boy Diary: Book 2,,beverage,,
tomahawk steaks,Pull up in the cut with the Tomahawk steaks / Pull up with the chops with the Tomahawk steak,flash on these bitches,The D-Boy Diary: Book 2,,,,
rice bowls,"Smoke vegetables, sell rice bowls",flash on these bitches,The D-Boy Diary: Book 2,,,,
spaghetti,"I can't let 'em spaghetti me, and leave me brainless",paid off,The D-Boy Diary: Book 2,,,,
"Sluricane (Sluricane is E-40’s own creation—a sugary tropical-flavored rum cocktail with 18% alcohol, sold in bottles. The name comes E-40’s song “The Hurricane”, which he recorded with his family group “The Click”)","Sluricane in my cup, category fifth",slappin,The D-Boy Diary: Book 2,,alcoholic beverage,,
organic veggies,"Broccoli, organic veggies (sour)",petty,The D-Boy Diary: Book 2,,produce,,
broccoli,"Broccoli, organic veggies (sour)",petty,The D-Boy Diary: Book 2,,produce,,
apple cidar vinegar,"Apple cider vinegar and a Bayer aspirin / Old people out-livin' us, they lastin'",magazine street,Poverty and Prosperity,,,,
Bayer aspirin,"Apple cider vinegar and a Bayer aspirin / Old people out-livin' us, they lastin'",magazine street,Poverty and Prosperity,,,,
mangoscato,Hella long ago before my Mangoscato,gamed up,Poverty and Prosperity,,alcoholic beverage,,
basil,"Havin' money ain't new to me, I'm a staple / Seasoned like a mu'fucka: basil",gamed up,Poverty and Prosperity,,produce,,
beer,"Who got a beer? I'm stressed out / When I was 12 years old, I had a paper route",the way i was raised,Poverty and Prosperity,,,,
dove soap,Now you cleaner than a bar of Dove soap? (yup),choices (yup),Sharp On All 4 Corners: Corner 1,,"dude sharp on all 4 corners is a DARK album like its a lot of stuff about mike brown, trayvon, police shootings and his childhood issues :(",,
gouda,Got a little gouda? (nope),choices (yup),Sharp On All 4 Corners: Corner 1,,dairy,,
sriracha,Saucy like sriracha (yup),choices (yup) - remix,Choices (yup) - Remix,,condiment,,
cheddar,"Bout the cheddar, I'm forever Sick Wid It",programmin,Sharp On All 4 Corners: Corner 1,,dairy,,
steak (3 dollar steak),Tougher than a three-dollar steak (Dollar steak),money sack,Sharp On All 4 Corners: Corner 1,,,,
ramen noodles,I went from chopped Ramen noodles to garlic noodles at Crustacean,three jobs,Sharp On All 4 Corners: Corner 1,,,,
"garlic noodles at the Crustacean, a restaurant in sf",I went from chopped Ramen noodles to garlic noodles at Crustacean,three jobs,Sharp On All 4 Corners: Corner 1,,,,
Maggie's Hamburgers,"Mama always taught me never tease and laugh at special needs children / She worked at Napa State Hospital mental institution, Maggie's Hamburgers and Mr Jimmy's grocery store / Three jobs",three jobs,Sharp On All 4 Corners: Corner 1,,,,
V8 tomato juice,"I got a 6-7 Cougar and it's the truth (The truth) / It got a V8, I ain't talking about tomato juice (Tomato juice)",straight mobbin,Sharp On All 4 Corners: Corner 1,,beverage,,
honey,"You used to be sweet as honey, used to be my honey",2 fingers,Sharp On All 4 Corners: Corner 1,,condiment,,
lobster,"200 a plate, lobster and srhimp scampi and a hot steak",2 fingers,Sharp On All 4 Corners: Corner 1,,,,
shrimp scampi,"200 a plate, lobster and srhimp scampi and a hot steak",2 fingers,Sharp On All 4 Corners: Corner 1,,,,
steak (200 a plate steak),"200 a plate, lobster and srhimp scampi and a hot steak",2 fingers,Sharp On All 4 Corners: Corner 1,,,,
nutella,"Have an African broad same color as Nutella, from Kenya",playa,Sharp On All 4 Corners: Corner 1,,condiment,,
corn,"Country-city boy, big corn-fed nigga",707,Sharp On All 4 Corners: Corner 1,,produce,,
gouda,I been stacking my gouda to go to Maui (Hawaii),it's the first,Sharp On All 4 Corners: Corner 2,,dairy,,
bagel,"Have him eating out a straw, for disrespecting a staple / Get your car riddled, split in half like a bagel",bass rocks,Sharp On All 4 Corners: Corner 2,,,,
gumbo,"See he throws the whole unit in a big ass gumbo pot / Foam, stir, let it settle to make it lot / Take it out of the oowop and let it dry / Doing what I gotta do to get by",bass rocks,Sharp On All 4 Corners: Corner 2,note gumbo pot is how you make cocaine tho,,,
pumpkin pie,"Don’t protect your pumpkin, they’ll it into pumpkin pie",quit hatin,Sharp On All 4 Corners: Corner 2,,,,
pastrami,Turn your brain to pastrami,bout to pour up,Sharp On All 4 Corners: Corner 2,,,,
bacon,"Fry you like bacon, bitch, when we beef, no bologna",bout to pour up,Sharp On All 4 Corners: Corner 2,,,,
bologna,"Fry you like bacon, bitch, when we beef, no bologna",bout to pour up,Sharp On All 4 Corners: Corner 2,,,,
"sluricane (Sluricane is E-40’s own creation—a sugary tropical-flavored rum cocktail with 18% alcohol, sold in bottles. The name comes E-40’s song “The Hurricane”, which he recorded with his family group “The Click”)",Pour out a little liquor—Sluricane,bout to pour up,Sharp On All 4 Corners: Corner 2,,alcoholic beverage,,
burrito,Standing outside of the burrito placing my order,real game for a player,Sharp On All 4 Corners: Corner 2,,,,
spaghetti,Turn a nigga brain to spaghetti (spaghetti),jumpin like mine,Sharp On All 4 Corners: Corner 2,,,,
earl stevens wine,Hit the liquor store for some alcohol / Earl Stevens wine and some Buzzballz,give me love,Sharp On All 4 Corners: Corner 2,,alcoholic beverage,,
buzzballz,Hit the liquor store for some alcohol / Earl Stevens wine and some Buzzballz,give me love,Sharp On All 4 Corners: Corner 2,,alcoholic beverage,,
mangoscato,I am on this Mangoscato,give me love,Sharp On All 4 Corners: Corner 2,,alcoholic beverage,,
soft taco,"It go hella hard, not soft like a soft taco",give me love,Sharp On All 4 Corners: Corner 2,,,,
spaghetti,"They'll spaghetti your noodle, mayne, element of surprise",fast lane,The Block Brochure: Welcome to the Soil 1,,,,
potato,"Stock paint (from where?) Maaco / Beige, like a potato",they point,The Block Brochure: Welcome to the Soil 1,,produce,,
grey poupon,Pardon me... but would you happen to have any gray poupon / Fuck naw bitch we out here clippin' coupons (coupons),outta town,The Block Brochure: Welcome to the Soil 1,,condiment,,
campbell's soup,"My Camaro's souped up, and I ain't talking about Campbell's",whats my name,The Block Brochure: Welcome to the Soil 1,,,,
grey goose,"Ready to catch a fade, ready to put up my fucking dukes / Read to squeeze and make a neck, like this bottle of Grey Goose",slummin,The Block Brochure: Welcome to the Soil 1,,alcoholic beverage,,
pea,Let me put my macking in motion and put the peas in the pie,do the playa,The Block Brochure: Welcome to the Soil 1,,produce,,
clorox,My paint be drippin' wet I'm clean as Clorox,cutlass,The Block Brochure: Welcome to the Soil 1,,,,
ciroc,I got a zap of rock and a 5th of Ciroc,cutlass,The Block Brochure: Welcome to the Soil 1,,alcoholic beverage,,
colt 45 beer,"Colt 45 casing, and I ain't talkin about the beer",turn it up,The Block Brochure: Welcome to the Soil 1,,alcoholic beverage,,
fish,I bait my hook up for another fish to fry,can you feel it,The Block Brochure: Welcome to the Soil 1,,,,
lozenge,Yo im there where I’m gone (gone) I'm on jupiter perfect zone sucked her like a lozenger,mary jane,The Block Brochure: Welcome to the Soil 1,,,,
girl scout cookie,"I was a boy scout you was a girl scout cookie, member that time we played hookie and",mary jane,The Block Brochure: Welcome to the Soil 1,,,,
gin and tonic,Soaking up game from the OG's drinking gin and tonic,help me,The Block Brochure: Welcome to the Soil 1,,alcoholic beverage,,
collard greens,"If we catch a cold, we drink the juice from collard greens",help me,The Block Brochure: Welcome to the Soil 1,,,,
lemon,I got some lemon squeeze and a case of Corona,blame it on the dj,The Block Brochure: Welcome to the Soil 1,,produce,,
case of coronas,I got some lemon squeeze and a case of Corona,blame it on the dj,The Block Brochure: Welcome to the Soil 1,,alcoholic beverage,,
marshmallow,"Have money, have heart, can’t be no marshmallow",blame it on the dj,The Block Brochure: Welcome to the Soil 1,,,,
burrito,But you can deep fry it like a burrito in front the taco truck,beatin the trunk loose,The Block Brochure: Welcome to the Soil 1,,,,
apple jacks,He really a gangsta but they thought he was square as a box of apple jacks,i'm laced,The Block Brochure: Welcome to the Soil 2,,,,
cabbage,I know the difference between a cabbage and the lettuce (bitch!),i'm laced,The Block Brochure: Welcome to the Soil 2,,produce,,
jergen's lotion,Don't hop in the yola game if you're soft as Jergens Lotion,i'm laced,The Block Brochure: Welcome to the Soil 2,,,,
bacardi,"I'm toasted and sloppy, off of broccoli Bacardi, / Bacardi one fifty one out my body, about that green like wasabi",function,The Block Brochure: Welcome to the Soil 2,,alcoholic beverage,,
